80.730000000,1,80.700000000,James Baldwin
215.010000000,1,112.560000000,James Baldwin
350.460000000,1,52.250000000,James Baldwin
449.578666666,1,105.845333333,James Baldwin
564.010666666,1,42.709333333,James Baldwin
643.370666666,1,92.224000000,James Baldwin
757.418666666,1,69.517333333,James Baldwin
839.594666666,1,17.562666666,James Baldwin
860.629333333,1,84.056000000,James Baldwin
973.098666666,1,25.778666666,James Baldwin
1002.880000000,1,105.354666666,James Baldwin
1112.618666666,1,13.101333333,James Baldwin
1135.018666666,1,16.205333333,James Baldwin
1226.282666666,1,83.936000000,James Baldwin
1382.869333333,1,56.437333333,James Baldwin
1481.557333333,1,118.296000000,James Baldwin
1615.232000000,1,33.909333333,James Baldwin
1657.984000000,1,106.082666666,James Baldwin
1842.730666666,1,108.106666666,James Baldwin


## Edited by ischoolguest
## 2017-02-10 17:09:41 GMT
