AAPB Unique Identifier (GUID),Type,Value,Timecode IN,Timecode OUT,Duration,dur_hh,dur_mm,dur_ss,seq_duration_SS,seq_duration_hh_mm_ss,Corpus,PBCore URL,AAPB URL,SonyCi ID,Filename,Source Org,Media Type,Title,Description,Genre,Creators,Source Format,Date Type,Date
cpb-aacip/500-j9609t48,Significant speaker voice,"Kennedy, John F.",00:00:05,00:01:50,00:26:46,0.0,28.0,40.0,1720,00:28:40,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_55-56932rzt.pbcore,http://americanarchive.org/catalog/cpb-aacip_55-56932rzt,f7ef9c2598eb451fbb37ecd4c5de58fa,cpb-aacip-55-56932rzt.h264.mp4,,Series,,"Spinach- and cheese-stuffed roast; cream of leek and mushroom soup; mini
    almond cakes in red raspberry sauce.",Cooking,,Betacam Digital (Digi Beta),,
cpb-aacip/500-j9609t48,Sound quality,audience clapping,00:02:11,00:02:20,00:26:46,,,,1720,00:28:40,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_55-8380h7g0.pbcore,http://americanarchive.org/catalog/cpb-aacip_55-8380h7g0,66fd99f1559444729162de0508d5710a,cpb-aacip-55-8380h7g0.h264.mp4,,Series,,"Chicken thighs with mushroom sauce; fricassee of Brussels sprouts and
    bacon; seafood chowder; Stilton with apple and nuts.",Cooking,,Betacam Digital (Digi Beta),,
cpb-aacip/500-j9609t48,Significant speaker voice,"Kennedy, John F.",00:01:59,00:04:14,00:26:46,,,,1720,00:28:40,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_55-26m0d696.pbcore,http://americanarchive.org/catalog/cpb-aacip_55-26m0d696,3b1c1d138d1f42cfac11864db94feb57,cpb-aacip-55-26m0d696.h264.mp4,,Series,,"Lamb curry over rice with raisins; scallop pancakes on Boston salad; crisp
    apricot.",Cooking,,Betacam Digital (Digi Beta),,
cpb-aacip/500-j9609t48,Sound quality,audience clapping,00:04:15,00:04:22,00:26:46,,,,1720,00:28:40,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_55-90rr5svd.pbcore,http://americanarchive.org/catalog/cpb-aacip_55-90rr5svd,155491ff9bca4c3fb28523755c990e66,cpb-aacip-55-90rr5svd.h264.mp4,,Series,,"Butternut squash velvet; fillet of sole with mushroom sauce; peas,
    mushrooms and endive; Seckel pears in coffee.",Cooking,,Betacam Digital (Digi Beta),,
cpb-aacip/500-ff3m1h34,Significant speaker voice,"Kennedy, John F.",00:05:58,00:07:16,01:55:17,0.0,29.0,47.0,3507,00:58:27,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_394-773txnxs.pbcore,http://americanarchive.org/catalog/cpb-aacip_394-773txnxs,80f1c50f66f74c8280967999191a1ccc,cpb-aacip-394-773txnxs.h264.mp4,http://americanarchiveinventory.org,Program,Chez Pepin,"Closed-Captioned, Internationally renowned master chef Jacques Pepin invites viewers on a personal journey, through 50 years and across two continents. From the warmth of his own Connecticut kitchen to the town of his birth in Burgundy, France, the program introduces the people who shaped his career and reveals the adventure of a master chef-in-the-making. Jacques also shares an array of recipes that reflect every stage of his life, from favorite Pepin family dishes such as poulet la creme ( chicken in cream sauce) to flavorful hybrids that incorporate the influences of his American life.",Food and Cooking,"OrderedDict([(u'creator', u'Maryland Public Television')])",Betacam,,
cpb-aacip/500-ff3m1h34,Sound quality,audience clapping,00:07:16,00:07:22,00:28:55,,,,3507,00:58:27,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_75-68kd5czf.pbcore,http://americanarchive.org/catalog/cpb-aacip_75-68kd5czf,6dc2627caf7d43b38ac9d7a987e4bcfa,cpb-aacip-75-68kd5czf.h264.mp4,http://americanarchiveinventory.org,Series,MetroArts/Thirteen,"Jacques Pepin at the French Culinary Institute, Tape 1",Fine Arts,,Betacam SP,,
cpb-aacip/500-ff3m1h34,Significant speaker voice,"Kennedy, John F.",00:15:01,00:18:45,,,,,3507,00:58:27,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_75-47dr83ms.pbcore,http://americanarchive.org/catalog/cpb-aacip_75-47dr83ms,71753707925a414e8edc24e9753f23bc,cpb-aacip-75-47dr83ms.h264.mp4,http://americanarchiveinventory.org,Series,MetroArts/Thirteen,"Jacques Pepin at the French Culinary Institute, Tape 2",,,Betacam SP,created,1999-03-02
cpb-aacip/500-ff3m1h34,Significant speaker voice,"Kennedy, John F.",00:20:37,00:21:17,00:13:34,,,,3507,00:58:27,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_75-03qv9z1s.pbcore,http://americanarchive.org/catalog/cpb-aacip_75-03qv9z1s,bbe0ab7285e14ca7ae3177739c38fa1e,cpb-aacip-75-03qv9z1s.h264.mp4,http://americanarchiveinventory.org,Series,MetroArts/Thirteen,"Jacques Pepin at the French Culinary Institute, Tape 3",Fine Arts,,Betacam SP,,
cpb-aacip/15-53wsv2sk,Sound quality,audience clapping,00:10:56,00:11:12,02:00:00?,0.0,17.0,0.0,4527,01:15:27,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_394-78gf257f.pbcore,http://americanarchive.org/catalog/cpb-aacip_394-78gf257f,b7b660c610264887beaf285452a972c7,cpb-aacip-394-78gf257f.h264.mp4,Maryland Public Television,Program,Chez Pepin: Celebrating Fifty Years in the Kitchen,"An instructional program where Jacques Pepin cooks a variety of French and New England recipes, both within and outside of the kitchen. Biographical information about Pepin's life is included in this program. Pepin's lifestyle activities (such as kayaking), in addition to family and friends (wife and daughter), also appear in this program.",Biography,"Maryland Public Television|Pinsky, Charles|Pinsky, Charles|Pinksy, Charles|Sorrin, Ellin|Potthast, John T.",VHS,,
cpb-aacip/15-53wsv2sk,Significant speaker voice,"Kennedy, John F.",00:11:12,00:14:12,00:00:30,,,,4527,01:15:27,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_309-451g1ps1.pbcore,http://americanarchive.org/catalog/cpb-aacip_309-451g1ps1,6677285b9ab549229b9c830cc14dd257,cpb-aacip-309-451g1ps1__1002.mp3,http://americanarchiveinventory.org,Title,If These Dogs Could Talk,No description available,Public Service Announcement,"OrderedDict([(u'creator', u'KGLT'), (u'creatorRole', u'Producer')])",Digital,,
